labels,Reviews,Backtranslated_Reviews_Google_fr
neutral,जीपीएस की सुविधा वाला पहला एंड्रायड वीयर,जीपीएस सुविधा के साथ पहला एंड्रॉइड पहनें
neutral,ज़ेड वन कॉम्पैक्ट में एक्सपीरिया ज़ेड वन की तरह ही किनारे पर धातु का फ्रेम है जो इसके चेसिस की तरह लगता है ।,"Z एक कॉम्पैक्ट में Xperia Z वन की तरह किनारे पर एक धातु का फ्रेम होता है, जो इसके चेसिस की तरह दिखता है।"
positive,हली फिल्म के लिहाज से दोनों ने बेहतरीन प्रदर्शन किया है ।,दोनों ने हाली फिल्म के संदर्भ में अच्छा प्रदर्शन किया है।
neutral,"यह टेबलेट 8 जीबी / 16 जीबी / 32 जीबी स्टोरेज क्षमता में आता है , इसके मेमोरी को माइक्रो एसडी कार्ड से 32 जीबी तक बढ़ाया जा सकता है ।","यह टैबलेट 8 जीबी / 16 जीबी / 32 जीबी स्टोरेज क्षमता में आता है, इसकी मेमोरी को माइक्रो एसडी कार्ड के साथ 32 जीबी तक बढ़ाया जा सकता है।"
positive,"साधारण फिल्मों में भी कुछ दृश्य , गीत और सिक्वेंस मिल जाते हैं , जिसे दर्शकों का मन बहल जाता है ।","कुछ दृश्य, गाने और अनुक्रम भी साधारण फिल्मों में पाए जाते हैं, जो दर्शकों का दिमाग प्रबुद्ध हो जाता है।"
positive,बैद्यनाथ मंदिर की यात्रा तब तक अधूरी मानी जाती है जब तक बासुकीनाथ में दर्शन नहीं किए जाते हैं ।,बद्यानाथ मंदिर की यात्रा को तब तक अधूरा माना जाता है जब तक कि इसे बसुकीनाथ में नहीं देखा जाता है।
neutral,वायुमार्ग - पटना निकटतम हवाईअड्डा है और भारत के सभी प्रमुख स्थानों से उड़ानों द्वारा जुड़ा है ।,एयरवेज - पटना निकटतम हवाई अड्डा है और उड़ानों से भारत के सभी प्रमुख स्थानों से जुड़ा हुआ है।
positive,लेपटॉप और टेबलेट दोनों एकसाथ की लेने की इच्छा रखने वालों के लिए यह सबसे अच्छा मौका है ।,यह उन लोगों के लिए सबसे अच्छा मौका है जो लैपटॉप और टैबलेट दोनों को एक साथ लेना चाहते हैं।
positive,LG अपने स्मार्टफोन G3 को इस हफ्ते एंड्रायड लॉलीपॉप से अपडेट करने वाला है जबकि इस मामले में गूगल के डिवाइसेज अभी पीछे हैं ।,"एलजी इस सप्ताह एंड्रॉइड लॉलीपॉप के साथ अपने स्मार्टफोन जी 3 को अपडेट करने जा रहा है, जबकि इस मामले में Google के उपकरण अभी भी पीछे हैं।"
neutral,करण में एक ठहराव है ।,करण में एक ठहराव है।
neutral,बुनियादी रूप से टैबलेट माइक्रोमैक्स Micromax के पहले के टैबलेट फनबुक Funbook का अपग्रेडेट वर्जन है ।,मूल रूप से टैबलेट माइक्रोमैक्स माइक्रोमैक्स की पहली टैबलेट फ़नबुक फ़नबुक का एक उन्नत संस्करण है।
positive,इस मार्ग पर सफर करते हुए शाहबलूत से बुरूंश और लाल - पीले सेबों के ब़ागों से होते हुए किन्नौर कैलाश चोटी के जरिये प्रकृति को अपनी मनमोहक छवि को बदलते देखा जा सकता है ।,"इस मार्ग पर यात्रा करते समय, प्रकृति को इस मार्ग पर यात्रा करते समय बुरुशा और रेड -येलो सेब के लड़कों के माध्यम से किन्नुर कैलाश पीक के माध्यम से अपनी करामाती छवि को बदलते देखा जा सकता है।"
neutral,साथ ही इसमें 1.2 जीएचजेड क्वालकॉम स्नैपड्रगन 400 डुअल कोर प्रोसेर व 1.5 जीबी का रैम है ।,इसमें 1.2 गीगाहर्ट्ज क्वालकॉम स्नैपड्रैगन 400 ड्यूल कोर प्रक्रिया और 1.5 जीबी रैम भी है।
neutral,इसलिए आपको ये होने का इंतजार भर करना पड़ता है ।,इसलिए आपको ऐसा होने का इंतजार करना होगा।
neutral,कान्हा राष्ट्रीय उद्यान के भ्रमण के लिए आने वाले पर्यटकों को इस आयोजन के द्वारा बैगा संस्कृृति और उनकी परम्पराओं को करीब से देखने का अवसर मिलेगा ।,कान्हा नेशनल पार्क में आने वाले पर्यटकों को इस घटना के माध्यम से बैगा संस्कृति और उनकी परंपराओं को बारीकी से देखने का अवसर मिलेगा।
neutral,लाहौर गेट इसका मुख्य प्रवेशद्वार है ।,लाहौर गेट इसका मुख्य प्रवेश द्वार है।
positive,रंग काफी गहरे हैं और ब्लैक लेवल इस कीमत के रेंज में सर्वोत्तम में से एक है ।,रंग काफी गहरे हैं और काला स्तर इस कीमत की सीमा में सबसे अच्छा है।
positive,यह 344 ग्राम वज़न के साथ काफी हल्का टेबलेट भी है ।,यह 344 ग्राम वजन के साथ काफी हल्का टैबलेट भी है।
neutral,"वल्र्ड हेरिटेज डे की शुरुआत 18 अप्रैल , 1982 को हुई थी , जब इकोमास इंटरनेशनल काउंसिल ऑन मोन्यूमेंट्स ऐंड साइट्स , यह संस्था इस साल अपना 50वीं 1965-2015 एनिवर्सरी सेलिब्रेटकर रही है ने ट्यूनीशिया में इंटरनेशनल डे फॉर मोन्यूमेंट्स ऐंड साइट का आयोजन किया था ।","विश्व विरासत दिवस 18 अप्रैल 1982 को शुरू हुआ, जब इकोमास इंटरनेशनल काउंसिल ऑन मॉन्यूमेंट्स एंड साइट्स, संस्था इस साल अपनी 50 वीं 1965-2015 की सालगिरह का जश्न मना रही है।इसने ट्यूनीशिया में स्मारकों और साइट के लिए अंतर्राष्ट्रीय दिवस का आयोजन किया।"
neutral,13 मेगापिक्सल का रीयर कैमरा है जबकि फ्रंट कैमरा 5 मेगापिक्सल का है ।,एक 13 -Megapixel रियर कैमरा है जबकि फ्रंट कैमरा 5 मेगापिक्सल है।
neutral,"बेहतर परफार्मेश के लिए इसमें 1.3 गीगाहर्त्ज इंटेल एटॉम क्वॉडकोर प्रोसेसर , 2जीबी रैम तथा 16 जीबी इंटरनल मेमोरी दिए गए हैं ।","बेहतर प्रदर्शन के लिए, इसमें 1.3 गीगाहर्ट्ज इंटेल एटम क्वाडकोर प्रोसेसर, 2 जीबी रैम और 16 जीबी आंतरिक मेमोरी है।"
negative,डिस्प्ले ग्लास स्मार्टफोन की अगली बाजू को पूरी तरह से ढंकता है जिससे धब्बो और उंगलियों के निशानों की संभावना बढ़ जाती है ।,"डिस्प्ले ग्लास पूरी तरह से स्मार्टफोन के सामने की ओर कवर करता है, जिससे स्पॉट और उंगलियों की संभावना बढ़ जाती है।"
positive,नॉर्वे के समीप स्थित फैरो आइलैंड्स भले ही दुनियाभर के लिए अंजान है लेकिन अपनी खूबसूरत जगहों पर जाने के शौकीन लोग यहां पहुंच ही जाते हैं ।,"नॉर्वे के पास फारो द्वीप दुनिया के लिए अज्ञात हो सकता है, लेकिन लोग अपनी खूबसूरत जगहों पर जाने के शौकीन हैं।"
neutral,इसमें 5.5 इंच की डिस्पले स्क्रीन कॉर्निग गोरिल्ला ग्लास3 प्रोटेक्शन के साथ दी गई है ।,इसमें कॉर्नर गोरिल्ला ग्लास 3 प्रोटेक्शन के साथ 5.5 -इंच डिस्प्ले स्क्रीन है।
positive,इस मंदिर के अलावा बोधगया में ऐसे बहुत से मठ है जिसकी अनोखी वास्तुकला शैली सैलानियों को अपनी ओर खींचती है ।,"इस मंदिर के अलावा, बोध गया में कई मठ हैं जिनकी अद्वितीय वास्तुशिल्प शैली पर्यटकों को आकर्षित करती है।"
neutral,सोनी के इन नए कैमरों की रेंज में सबसे हाई एंड कैमरा ए7एस है जो 4के वीडियो क्वालिटी वाला है ।,"इन नए सोनी कैमरों की सीमा में सबसे अधिक और कैमरा A7S है, जो 4 की वीडियो गुणवत्ता है।"
negative,अभी इसमें फीचर्स बहुत कम हैं और सुधारों की आवश्यकता ज्यादा है ।,अभी इसकी बहुत कम सुविधाएँ हैं और अधिक सुधारों की आवश्यकता है।
neutral,पटना से आपको सड़क मार्ग से मात्र चार घंटे ही लगेगा ।,आपको पटना से सड़क से केवल चार घंटे लगेंगे।
neutral,"हां , उनका व्यस्क होना जरूरी है ।","हां, वयस्कों का होना आवश्यक है।"
neutral,"हालांकि यह हॉलीवुड की इंग्लिश फिल्म से अलग है , क्योंकि इसमें गोवा है ।","हालांकि, यह हॉलीवुड अंग्रेजी फिल्म से अलग है, क्योंकि इसमें गोवा है।"
positive,भारत में लोगों के बीच हिल स्टेशन का क्रेज जबरदस्त है ।,भारत में हिल स्टेशन का क्रेज जबरदस्त है।
positive,"यह एक प्रसिद्ध हेल्थ रिजॉर्ट है , लेकिन इसकी पहचान हिंदु तीर्थस्थान के रूप में की जाती है ।","यह एक प्रसिद्ध स्वास्थ्य रिसॉर्ट है, लेकिन एक हिंदू तीर्थयात्रा के रूप में पहचाना जाता है।"
neutral,इसे देवगढ़ भी कहा जाता है ।,इसे देवगढ़ भी कहा जाता है।
positive,कीमत को लेकर सचेत रहने वाले खरीदारों को ध्यान में रखते हुए इस डिवाइस को बनाया गया है लेकिन इसके बावजूद यह अच्छी साउंड क्वालिटी देने वाला प्रतीत होता है ।,"उन खरीदारों को ध्यान में रखते हुए जो कीमत के बारे में सचेत हैं, यह उपकरण बनाया गया है, लेकिन इसके बावजूद यह अच्छी ध्वनि की गुणवत्ता देता है।"
positive,साइनोजन ओएस की यह खास बात है कि अपीयरेंस के कस्टमाइजेशन के मामले में आप इसमें कई फेरबदल कर सकते हैं ।,"यह साइनोजेन ओएस के बारे में एक विशेष बात है कि दिखावे के अनुकूलन के संदर्भ में, आप कई फेरबदल कर सकते हैं।"
neutral,कंपनी का कहना है कि खाना बनाने के लिए तैयार होकर उसका मैसेज करने वाले इस प्रेशर कूकर में स्मार्टफोन एप का इस्तेमाल किया गया है जो इसके गर्म होने की स्थिति पर नजर रखता है और यूजर के मोबाइल फोन पर मैसेज कर देता है ।,"कंपनी का कहना है कि स्मार्टफोन ऐप का उपयोग इस प्रेशर कुकर में किया गया है, जो पकाने के लिए तैयार है, जो उपयोगकर्ता के मोबाइल फोन पर इसकी गर्मी और संदेशों पर नजर रखता है।"
negative,इस टेबलेट के डिस्प्ले पर उंगलियों के निशान बहुत आसानी से पड़ जाते हैं ।,इस टैबलेट के प्रदर्शन पर उंगलियां बहुत आसानी से गिरती हैं।
neutral,स्क्रीन का रिजोल्यूशन 800X600 है ।,स्क्रीन का रिज़ॉल्यूशन 800x600 है।
negative,बैटरी लाइफ़ भी बेहतर नहीं ।,बैटरी जीवन भी बेहतर नहीं है।
positive,कैनवस टर्बो मिनी का ऑडियो आउटपुट अच्छा है ।,कैनवास टर्बो मिनी ऑडियो आउटपुट अच्छा है।
positive,बैटरी लाइफ बढ़िया है लगभग पूरा दिन चलती है,बैटरी जीवन लगभग पूरे दिन रन अच्छा है
neutral,जबकि आपके कहते ही वॉशिंग मशीन कपड़े धोने लग जाएगी ।,"जबकि जैसे ही आप कहते हैं, वॉशिंग मशीन कपड़े धोना शुरू कर देगी।"
negative,बनावट अगर देखें तो बाजार में इंट्री - लेवल पर उपलब्ध अन्य डीएसएलआर के मुकाबले के-500 ज्यादा भारी है ।,"यदि आप बनावट को देखते हैं, तो बाजार में प्रविष्टि अन्य DSLRs के लिए अधिक भारी होती है जो स्तर पर उपलब्ध है।"
positive,क्लाइमेक्स में अजय और शुक्ला अनुपम खेर की नोंक - झोंक तनाव ढीला कर राहत देती है ।,"चरमोत्कर्ष में, अजय और शुक्ला अनूपम खेर की टिप -स्ट्रेस तनाव को ढीला करके राहत देती है।"
neutral,स्टेलर म्यूजियम हफ्ते के सातों दिन खुला होता है ।,स्टेलर संग्रहालय सप्ताह में सात दिन खुला रहता है।
positive,जब यह फूल खिलता है तो इसकी सुंदरता देखते ही बनती है ।,"जब यह फूल खिलता है, तो इसकी सुंदरता इसे देखने पर बनाई जाती है।"
positive,इसमें 500 जीबी की हार्ड डिस्क और दो जीबी रैम है जो 2.30 गीगाहर्टज इंटेल पेंटियम प्रोसेसर के साथ काम करने की स्पीड को बेहतर बनाता है ।,इसमें 500 जीबी हार्ड डिस्क और दो जीबी रैम है जो 2.30 गीगाहर्ट्ज इंटेल पेंटियम प्रोसेसर के साथ काम करने की गति में सुधार करता है।
neutral,हमारी सलाह यह है कि इसे खरीदने का निर्णय करते समय आप इससे थोड़े से महंगे गैलेक्सी टैब 730 को भी अवश्य ध्यान में रखें ।,"हमारी सलाह यह है कि इसे खरीदने का निर्णय लेते समय, आपको थोड़ा महंगा गैलेक्सी टैब 730 को ध्यान में रखना चाहिए।"
positive,इस अनोखे स्मार्टफोन को जेडटीई कंपनी लेकर आई है ।,ZTE कंपनी ने इस अनूठे स्मार्टफोन को लाया है।
positive,एक्शन कमाल का है ।,कार्रवाई अद्भुत है।
positive,"यह टेबलेट यूनिवर्सल रिमोट की तरह काम कर सकता है , और यह पानी से सुरक्षित भी है ।","यह टैबलेट एक सार्वभौमिक रिमोट की तरह काम कर सकता है, और यह पानी से भी सुरक्षित है।"
neutral,हमने फुल एचडी वीडीयोज़ चलाएं और उसमें हल्के रिड्रॉ के साथ हल्का सा ग्रेन आया लेकिन उससे पूरे अनुभव में कोई फर्क नहीं पड़ा ।,हम पूर्ण एचडी वीडियो चलाते हैं और हल्के से हल्के लाल रंग के साथ एक मामूली अनाज मिला लेकिन पूरे अनुभव में कोई फर्क नहीं पड़ा।
neutral,"यूफिट बैंड , यूफिट एप के साथ आता है और एकसाथ मिलकर यूजर्स को स्टेप ट्रेकिंग , स्लिप ट्रेकिंग , डिस्टेंस वॉक और कैलोरी बर्न जैसे फीचर्स देते हैं ।","EUPIT बैंड वर्दी ऐप के साथ आता है और साथ में उपयोगकर्ताओं को स्टेप ट्रेकिंग, स्लिप ट्रेकिंग, डिस्टेंस वॉक और कैलोरी बर्न जैसे सुविधाएँ देता है।"
negative,बैटरी लाइफ अच्छी नहीं है ।,बैटरी जीवन अच्छा नहीं है।
positive,भारत की आर्थिक राजधानी मुंबई फिल्मी हस्तियों और अपने उद्योगों के लिए विश्वभर में विख्यात है ।,भारत की वित्तीय राजधानी मुंबई फिल्म हस्तियों और उसके उद्योगों के लिए दुनिया भर में प्रसिद्ध है।
negative,"यदि यह एक ' सामान्य ' कीमत टैग के साथ एक प्रमुख डिवाइस होता , तो हम सभी इसे पसंद करते ।","यदि यह 'सामान्य' मूल्य टैग के साथ एक प्रमुख उपकरण था, तो हम सभी इसे पसंद करेंगे।"
positive,यद्यपि बाद में आप इसके अभ्यस्त हो सकते हैं ।,हालांकि बाद में आपको इसकी आदत हो सकती है।
positive,नीरज पांडे ने मुख्य आतंकवादी तक पहुंचने की व्यूह रचना और घटनाक्रम में पर्याप्त उत्सुकता बनाए रखी है ।,नीरज पांडे ने मुख्य आतंकवादी तक पहुंचने के लिए सरणी और विकास में पर्याप्त जिज्ञासा बनाए रखी है।
positive,इसका आकार गैलेक्सी नोट से काफी बड़ा है और इसकी बनावट काफी अच्छी है ।,इसका आकार गैलेक्सी नोट की तुलना में बहुत बड़ा है और इसकी बनावट काफी अच्छी है।
positive,आइडियापैड जेड580 की परफॉरमेंस शानदार है और एन्वी डीवी6-7206टीएक्स इसके काफी करीब रहता है ।,IDEAPAD Z580 प्रदर्शन शानदार है और ENVI DV6-7206TX इसके बहुत करीब है।
neutral,अगर आपको इन डब्बेवालों का हुजूम देखना है तो आप दक्षिण मुंबई के चर्चगेट जा सकते हैं ।,"यदि आप इन बक्से की सभा को देखना चाहते हैं, तो आप दक्षिण मुंबई में चर्चगेट जा सकते हैं।"
neutral,टैबलेट पर सिर्फ तीन फिजीकल की हैं ।,टैबलेट पर केवल तीन भौतिक हैं।
neutral,स्पीकर और कनेक्टिविटी के सभी पोर्ट्स डिवाइस के नीचे दाईं ओर लगे हैं ।,वक्ताओं और कनेक्टिविटी के सभी पोर्ट डिवाइस के ठीक नीचे रखे गए हैं।
neutral,1024 x 600 पिक्सेल रेजोल्यूशन का 7-इंच पीएलएस एलसीडी डिस्प्ले है ।,1024 x 600 पिक्सेल रिज़ॉल्यूशन में 7-इंच PLS LCD डिस्प्ले है।
positive,फोन की स्क्रीन का एचडी यानी कि हाई डेफिनेशन डिसप्ले ज़रूर आकर्षक है ।,फोन स्क्रीन का एचडी निश्चित रूप से आकर्षक है।
positive,"आईपैड 2 अपने पहले के आईपैड की तुलना में थोड़ा पतला और हल्का है , लेकिन इसमें वही डिस्प्ले और रेजोल्यूशन है ।","IPad 2 अपने पहले के iPad की तुलना में थोड़ा पतला और हल्का है, लेकिन इसमें एक ही प्रदर्शन और रिज़ॉल्यूशन है।"
positive,"पिक्चर क्वालिटी , रॉ RAW और जेपीइजी JPEG तो प्रभावित करता है , पर इसके अलावा भी एक बेहद लाभकारी फीचर इसमें है ।","चित्र की गुणवत्ता, कच्चे कच्चे और जेपीईजी जेपीईजी प्रभावित करते हैं, लेकिन इसके अलावा इसमें एक बहुत ही लाभकारी विशेषता है।"
neutral,"दायीं ओर वर्टिकल मेन्यू होता है जिसमें एनी टाइम टीवी कैचअप टीवी , ट्रेंडिंग प्रोग्राम्स , फ्री वीडियोज और मूवी प्रीव्यू जैसे वैल्यू एडेड फीचर्स की लिस्ट होती है ।","दाईं ओर, एक ऊर्ध्वाधर मेनू है जिसमें एन टाइम टीवी कैचअप टीवी, ट्रेंडिंग प्रोग्राम, मुफ्त वीडियो और मूवी प्रीव्यू जैसी मूल्य वर्धित सुविधाओं की एक सूची है।"
neutral,इस लैपटॉप में भी 16GB की इंटरनल मेमोरी है ।,इस लैपटॉप में 16GB की आंतरिक मेमोरी भी है।
positive,"भारी इस्तेमाल करने वालों के लिए नेक्सस 7 एक बेहतर विकल्प है , क्योंकि इस टेबलेट में बढ़िया डिस्प्ले और ज्यादा शक्ति है ।","नेक्सस 7 भारी उपयोगकर्ताओं के लिए एक बेहतर विकल्प है, क्योंकि इस टैबलेट में शानदार प्रदर्शन और अधिक शक्ति है।"
positive,यहां के गर्म पानी के झरने में स्नान करने का अपना अलग ही मजा है ।,यहां गर्म पानी के झरने में स्नान करना अपना मज़ा है।
positive,20 हजार रु की कीमत में खूबसूरत सी डिजाइन वाला 5 इंच का फोन मिलता है ।,20 हजार रुपये की कीमत पर एक सुंदर डिजाइन के साथ 5 -इंच का फोन उपलब्ध है।
neutral,"इसका केबल अधिकतर हिस्सों में फाइबर ब्रेडेड है लेकिन स्टॉपर से जहां लेफ्ट और राइट केबल अलग होती हैं , वे बहुत पतली हो जाती हैं ।","इसकी केबल फाइबर को ज्यादातर भागों में लटकी हुई है, लेकिन जहां बाएं और दाएं केबल स्टॉपर से अलग हो जाते हैं, वे बहुत पतले हो जाते हैं।"
neutral,"रह गये थे , तो बस छोटे - छोटे झाड़ीनुमा पौधे ।","जब उन्हें छोड़ दिया गया, तो बस छोटी और छोटी झाड़ियों।"
positive,41 मेगापिक्सल के इमेज सेंसर के अतिरिक्त नोकिया Nokia इमेजिंग इंजिनियर्स ने ऑप्टिक्स और फ्लैश पर भी पूरा ध्यान दिया है ।,"41 -Megapixel छवि सेंसर के अलावा, नोकिया नोकिया इमेजिंग इंजीनियरों ने भी ऑप्टिक्स और फ्लैश पर पूरा ध्यान दिया है।"
neutral,"आईपैड 2 में दो कैमरे हैं , फेसटाइम के लिए फ्रंट फेसिंग कैमरा और एचडी वीडियो रिकॉर्डिंग के लिए रियर कैमरा ।","IPad 2 में दो कैमरे हैं, फेसटाइम के लिए फ्रंट फेसिंग कैमरा और एचडी वीडियो रिकॉर्डिंग के लिए रियर कैमरा है।"
neutral,"जिस भी व्यक्ति ने एक ओएस के रूप में ब्लैकबेरी 10 का अनुभव नहीं किया है , इस पर बीबीएम का उपयोग किया है , यह यूआर्इ ऐसा है जिसके उपयोग के बारे में आपको समझने की जरूरत है ।","कोई भी व्यक्ति जिसने ब्लैकबेरी 10 को ओएस के रूप में अनुभव नहीं किया है, ने उस पर बीबीएम का उपयोग किया है, यह यूआई है जिसे आपको उपयोग के बारे में समझने की आवश्यकता है।"
positive,"इस टेबलेट में कुछ बहुत अच्छे फीचर्स हैं जैसे फ्लोटिंग एप्स , अच्छी वीडियो प्लेबैक क्षमता , कॉल क्षमता और शानदार बनावट ।","इस टैबलेट में कुछ बहुत अच्छी विशेषताएं हैं जैसे कि फ्लोटिंग ऐप्स, अच्छी वीडियो प्लेबैक क्षमता, कॉल क्षमता और शानदार बनावट।"
neutral,"सैमसंग गैलेक्सी नोट 800 में 10 .1-इंच का डिस्प्ले , फ्रंट फेसिंग कैमरा , लाइट सेंसर और स्क्रीन के दोनों तरफ दो स्पीकर्स हैं ।","सैमसंग गैलेक्सी नोट 800 में स्क्रीन के दोनों किनारों पर 10.1 इंच का डिस्प्ले, फ्रंट फेसिंग कैमरा, लाइट सेंसर और दो स्पीकर हैं।"
positive,वह मज़बूत लगता है और आपके हाथ और जेब में आसानी से समा जाता है ।,वह मजबूत महसूस करता है और आसानी से आपके हाथों और जेब में अवशोषित हो जाता है।
neutral,"जब भी आप अपने फोन से दूर होंगे , तो आपके फोन में आने वाले मैसेज और नोटिफिकेशन को यह स्‍मार्टवॉच डिटेक्‍ट कर लेगी और आपको इन मैसेजेस की इंफार्मेशन दे देगी ।","जब भी आप अपने फोन से दूर होते हैं, तो यह आपके फोन में संदेश और अधिसूचना का पता लगाएगा और आपको इन संदेशों की जानकारी देगा।"
negative,"एक समूह ही इसका नायक है , लेकिन उस समूह के विभिन्न चरित्रों को गढऩे में अधिक मेहनत नहीं की गई है ।","एक समूह इसका नायक है, लेकिन उस समूह के विभिन्न पात्रों को बनाने के लिए बहुत मेहनत नहीं की गई है।"
neutral,' जेड प्लस ' कंटेंट प्रधान फिल्म है ।,'जेड प्लस' एक सामग्री प्रमुख फिल्म है।
negative,"यद्यपि यह कभी - कभी धीमा हो जाता है , लेकिन यह कभी काम करना बंद नहीं करता है ।","हालांकि यह कभी -कभी धीमा हो जाता है, यह कभी भी काम करना बंद नहीं करता है।"
positive,"लूमिया 540 , कम दाम में ज्‍यादा काम ।","लूमिया 540, कम कीमत पर अधिक काम।"
positive,मोटोरोला ने न केवल इसे खूबसूरती से डिज़ाइन किया है बल्कि इसे तैयार करने में अद्भुत प्रयास का परिचय भी दिया है ।,"मोटोरोला ने न केवल इसे खूबसूरती से डिजाइन किया है, बल्कि इसे तैयार करने के लिए एक अद्भुत प्रयास भी पेश किया है।"
negative,इसमें दो कमियां हैं जिन पर पहले से ही ध्यान देना चाहिए - सिम्बियन ^ 3 Symbian ^ 3 आधारित बेले Belle मोबाइल ओएस OS और मोटाई के साथ भारी होना ।,इसमें दो कमियां हैं जिन्हें पहले से ही ध्यान दिया जाना चाहिए - सिम्बियन ^ 3 सिम्बियन ^ 3 आधारित बेले बेले मोबाइल मोबाइल ओएस ओएस और मोटाई के साथ भारी।
positive,"इस फ़ोन में ऑप्टिकल इमेज स्टेबिलाइजेशन के साथ 13 मेगापिक्सेल रियर कैमरा भी है , इसके कनेक्टिविटी ऑप्शन्स में 4G , LTE , 3G , ब्लूटूथ , यूएसबी और वाई - फाई हैं ।","फोन में ऑप्टिकल छवि स्थिरीकरण के साथ 13 -Megapixel रियर कैमरा भी है, इसके कनेक्टिविटी विकल्प 4G, LTE, 3G, Bluetooth, USB और WI -FI हैं।"
neutral,इसके साथ ही आपको इसमें एक 3200mAh क्षमता की बैटरी भी मिल रही है ।,"इसके साथ ही, आपको इसमें 3200mAh क्षमता की बैटरी भी मिल रही है।"
neutral,जब इस बात की घोषणा पहली बार की गई थी तो दर्शकों को बताया गया कि यह फिल्म एक वैज्ञानिक पर आधारित है ।,"जब यह पहली बार घोषित किया गया था, तो दर्शकों को बताया गया था कि फिल्म एक वैज्ञानिक पर आधारित है।"
neutral,D5300 में 3.2 इंच की एलसीडी स्‍क्रीन दी गई है ।,D5300 में 3.2 -इंच एलसीडी स्क्रीन है।
negative,"एफ मोटर आवाज करता है , इंटरफेस बहुत पुराने स्टाइल का है और व्यू फाइंडर में एफ पॉंइन्ट का न होना इसकी खामिया हैं ।","एफ मोटर लगता है, इंटरफ़ेस बहुत पुरानी शैली का है और दृश्य खोजक में एफ -पॉइंट की अनुपस्थिति इसकी चुप्पी है।"
positive,इस स्मार्ट मैट की सबसे खास बात ये है कि कोई भी इस पर होकर गुजरता है तो उसके बारे में यूजर्स को मैसेज कर बता देती है ।,"इस स्मार्ट मैट के बारे में सबसे महत्वपूर्ण बात यह है कि अगर कोई इसके माध्यम से गुजरता है, तो यह उपयोगकर्ताओं को इसके बारे में बताता है।"
positive,इसके मेहराब में हर शाम रोशनी की जाती है जो एक अविस्मरणीय दृश्य बन जाता है ।,इसके मेहराब हर शाम हल्के होते हैं जो एक अविस्मरणीय दृश्य बन जाता है।
neutral,"इसमें 20 एमपी सेंसर , 8एक्स ऑप्टिकल जूम , 2.7 इंच एलसीडी डिस्पले , 230 शॉट बैटरी दिए गए हैं ।","इसमें 20 एमपी सेंसर, 8x ऑप्टिकल ज़ूम, 2.7 इंच एलसीडी डिस्प्ले, 230 शॉट बैटरी हैं।"
positive,इसमें एक सुंदर यूआई भी है और इसके द्वारा विडियो शेयर करना प्रसंता देता है ।,इसमें एक सुंदर यूआई भी है और इसके माध्यम से वीडियो साझा करता है।
neutral,"लिनोवो के दूसरे मॉडल ए 3000 में 7 इंच की आईपीएस स्‍क्रीन दी गई है , जो 1024x600 पिक्‍सल सपोर्ट करती है ।","लिनोवो के दूसरे मॉडल A3000 में 7 -इंच IPS स्क्रीन है, जो 1024x600 पिक्स का समर्थन करती है।"
neutral,सिस्टम परफॉरमेंस टेस्ट पीसी मार्क 07 में एन्वी का स्कोर 3420 रहा जबकि जेड580 का स्कोर 3426 है ।,"सिस्टम परफॉर्मेंस टेस्ट पीसी मार्क 07 में, एएनवीआई ने 3420 स्कोर किया, जबकि Z580 स्कोर 3426 है।"
positive,"अगर आप गेमिंग पसंद करते हैं तो आपका भाग्य अच्छा है , क्योंकि यह डिवाइस ओपनजीएल ईएस 3.0 को सपोर्ट करता है ।","यदि आप गेमिंग पसंद करते हैं तो आपकी किस्मत अच्छी है, क्योंकि यह डिवाइस OpenGL ES 3.0 का समर्थन करता है।"
neutral,3 मेगापिक्सेल रियर कैमरा और 0.3 मेगापिक्सेल फ्रंट फेसिंग कैमरा है ।,एक 3 मेगापिक्सल रियर कैमरा और 0.3 मेगापिक्सल फ्रंट फेसिंग कैमरा है।
