Reviews,labels
फिल्म को वरुण और नवाज गेम के लिए याद किया जाएगा।,positive
इस टैबलेट का कीबोर्ड टाइप करने के लिए काफी अच्छा और आरामदायक है।,positive
पार्क में लगभग 364 किस्मों का एक प्राकृतिक आवास है।,neutral
Ureka कई मामलों में Xiaomi Redmi नोट को पूरी प्रतिस्पर्धा देता है।,neutral
बहुत भावनात्मक रोमांच है।,neutral
यह मल्टीटैसिक और पूर्व-नियंत्रित iFlotte एप्लिकेशन के माध्यम से एक साथ कई खिड़कियों में अनुप्रयोगों का प्रदर्शन करके धीमा नहीं करता है।,neutral
ये पहाड़ हिमालय से बड़े हैं।,neutral
फिल्में देखना यानी वीडियो देखना इस लैपटॉप पर बहुत अच्छा है।,positive
"ग्राफिक गुणवत्ता और डिवाइस के उपचार में वृद्धि के साथ, अधिक घातक और ग्राफिक गेम पहले आए थे।",neutral
"इस सुविधा के हिस्से के रूप में, डिफ्यूज़र समय और मोबाइल डेटा को बचाता है।",positive
हम मानते हैं कि यह अपने आप में संयुक्त रूप से आपके लिए केवल मोबाइल के रूप में अपर्याप्त होगा।,negative
"भट्ट शिविर के ""खामोशीयन"" का नेतृत्व नए निर्देशक करण दारा ने किया है।",neutral
"इस टैबलेट का पीछे का हिस्सा धातु से बना है, और इस टैबलेट की बनावट काफी अच्छी है।",positive
ASUS द्वारा बनाई गई Google Nexus 7 टैबलेट आपकी हथेली में बहुत अच्छी तरह से है।,positive
एक प्रभावशाली स्टैंड और डिज़ाइन के साथ धातु किक एक लैपटॉप बोनस महसूस कराता है।,positive
"इतना ही नहीं, आप आसानी से कहानियों, दृश्यों, भोजन, सोने, शराब की खपत आदि को जान सकते हैं।घोटालों, पार्टियों, फिल्मों से जुड़ा हुआ है, आप यहां अपने पसंदीदा को जान सकते हैं",neutral
"हालांकि, उपयोगकर्ता एक साथ दो से अधिक कनेक्टर्स का उपयोग नहीं करता है, और एक तरफ सभी बंदरगाहों की स्थापना उन्हें सुविधाजनक बनाती है।",neutral
"मिनी एचडीएमआई पोर्ट, पावर सॉकेट, एक माइक्रो एसडी कार्ड स्थान और 3.5 मिमी सॉकेट सहित इसके बंदरगाह दाईं ओर दिए गए हैं।",neutral
कंपनी ने ओबेसिडियन स्टोन और सिरेमिक मिश्र धातु से अपने उपकरण से दो रंग निकाले हैं।,neutral
एक स्पष्ट और पुरानी ध्वनि हस्ताक्षर है।,positive
कीमत $ 250 है।,neutral
"इस टैबलेट में, निचले हिस्से को दाईं ओर एस पेन भी प्राप्त होता है।",positive
"MI4I में 16 GB का एकीकृत आंतरिक भंडारण है, जिसमें से 10.68 GB अनुप्रयोगों और उपयोगकर्ता डेटा के लिए उपलब्ध हैं, जब आप पहली बार फोन शुरू करते हैं।",neutral
हल्का।,positive
"संपूर्ण यूएसवी पोर्ट, छोटा यूएसवी पोर्ट, एक लोड पोर्ट, 3.5 मिमी का प्लग, एक एचडीएमआई पोर्ट और एक माइक्रो एसडी कार्ड स्थान, ये सभी पोर्ट टैबलेट टैबलेट के दाईं ओर स्थापित हैं।",neutral
मैंने पहाड़ों और सूरज के बीच इस तरह की भूख कभी नहीं देखी थी।,positive
लेकिन नूबिया यूआई में कमियां हैं जो मुझे पसंद नहीं थी।,negative
"यह टैबलेट हाथ में लेने पर भारी लगता है, जब यह केवल 471 ग्राम होता है।",neutral
उनके पास चार से अधिक थिएटर कलाकार हैं।,neutral
एंड्रॉइड ऑपरेटिंग सिस्टम 3.2 है।,neutral
रवि झानकाल और दीप्टी नौसेना चाचा और मातृ मां के चरित्र के लिए उपयुक्त हैं।,positive
कासौली ताजगी और शांति के लिए हनीमून दूरी आदर्श है।,positive
इस टैबलेट में एक पावर बटन और बाईं ओर एक वॉल्यूम रॉकिंग है।,neutral
पिछले एक की तुलना में इसके डिस्प्ले के आसपास के किनारों को भी कम कर दिया गया है।,neutral
"13 मेगापिक्सेल कैमरा, टैगरा क्वाड - कोर, रैम 3 जीबी प्रोसेसर और 3080 एमएएच मिल एम्पीरे घंटे की बैटरी, और ये सभी विशेषताएं 19 रुपये की हैं।",positive
"इस नई ASUS VIAO सीरीज़ कंप्यूटर को इंटेल कोर TMI5 और I या चौथी पीढ़ी के सेलेरन प्रोसेसर के साथ लॉन्च किया गया है, जिसके कारण उनका प्रदर्शन शानदार है।",positive
बैगा में लगभग 750 प्रतिभागी इसके प्रतिभागी होंगे।,neutral
"एक हाथी पर बैठना, एक पार्क वॉक और जंगली जानवरों को देखने के लिए रोमांच कुछ और है।",positive
"यह उपयोगकर्ता इंटरफ़ेस को सीखने और उपयोग करने में आसान बनाता है, जबकि कुछ नया जोड़ते हैं जो फोन महसूस करता है।",positive
हर दिन स्मार्टफोन का प्रदर्शन सुखद हो जाता है;,positive
"इस फोन के अलावा, कंपनी 261 रुपये डेटा का एक सेट भी प्रदान करती है, जिसमें ऑडिया टिप से तीन -महीने की सदस्यता और 1.6 जीबी डेटा शामिल है।",neutral
"यदि आप अपने फोन पर इंटरनेट का उपयोग नहीं कर रहे हैं, तो यह आपको 20-22 घंटे तक समर्थन देगा और आप इसे इंटरनेट के साथ और 6 घंटे के लिए 16-17 घंटे तक लगातार उपयोग कर सकते हैं।",neutral
"हमें बता दें कि ज़ेनवॉच ASUS का पहला पोर्टेबल गैजेट है, जो Android 4.3 या अधिक ऑपरेटिंग सिस्टम पर एक स्मार्टफोन के साथ जुड़ा हो सकता है, आपको GLA 2.5 डायोमेट्रिक्स वक्र के साथ जेनवॉच में 1.6 इंच की स्क्रीन मिलेगी।",neutral
"उदाहरण के लिए, आप इसे फिल्म के अंत से पहले नहीं जान पाएंगे, जो जैकब और उसके पिता को चला रहा था।",neutral
"इसके साथ, यह इतना गर्म नहीं है कि इसे पकड़ने में असुविधा होती है, जो बहुत अच्छा है।",neutral
3600 एमएएच लिथियम बैटरी इस टैबलेट पैक के साथ उपलब्ध है।,neutral
"इसे बदलने के लिए और इसे बदलने के लिए कोई त्वरित झुकाव नहीं है, आपको पूर्ण सेटिंग मेनू में जाना होगा।",negative
"जिस कीमत पर यह डबल सिम फोन बेचा जाता है, वह कीमत के मामले में बहुत अच्छी तरह से दिखता है।",positive
नए सैमसंग क्रोमबुक के दो मॉडलों में एक ऑक्टा 5 एकसनोस चिप है।,neutral
"जो लोग बड़ी स्क्रीन चाहते हैं, वे इस फोन को पसंद करेंगे।",positive
इसमें 8 जीबी की आंतरिक मेमोरी होती है जिसे मेमोरी कार्ड के तहत 32 जीबी तक बढ़ाया जा सकता है।,neutral
एचपी / कॉम्पैक सेवा भी बहुत खराब है।,negative
"इसके अलावा, यह आंतरिक 16 जीबी स्टोरेज के साथ उपलब्ध होगा, और आप 32 जीबी तक भी बढ़ सकते हैं।",neutral
फराह खान ने अन्य कलाकारों की प्रतिभाओं को भी पारित किया।,neutral
"A - GPS A - GPS महसूस किया जा सकता था, बहुत निराशा होती है।",negative
"डिवाइस में सरल इंटरफेस और तीन भौतिक बटन हैं, जो सही हैं।",positive
अपनी उंगली एक आवेदन पर रखें और इसे एक होम पेज पर रखें या इसे दाईं ओर उदासीन आइकन पर खींचें।,neutral
आप विज्ञान की दुनिया का पता लगा सकते हैं।,positive
बैटरी जीवन बहुत अच्छा है।,positive
इस एप्लिकेशन की व्यवस्था पर्याप्त रूप से साफ है और एप्लिकेशन में सीधे डाउनलोड लिंक को छड़ी करने के लिए स्थापना।,positive
"इस अभयारण्य में, हिमालयन भालू, बाघ, पाइग्मी सूअर इस अभयारण्य में आसानी से दिखाई देंगे।",positive
"साप्ताहिक बाजार, जगन्नाथ और नारायनी मंदिर यहां अन्य प्रमुख आकर्षण हैं।",positive
पेरिस्कोप एप्लिकेशन में एक सीवी नोटिफिकेशन फ़ंक्शन है जो बहुत विशेष है।,positive
"इस टैबलेट का उपयोग इस तरह की एक दुर्जेय तकनीक द्वारा किया गया था, जिसके कारण इसे हैक करना असंभव है।",positive
बाल नामण जैन के कलाकार प्रभावित करते हैं।,positive
नेक्सस 7 टैबलेट में दिए गए Tegra 3 क्वाड कोर प्रोसेसर अपने सर्वश्रेष्ठ मल्टीटास्किंग को सुनिश्चित करता है।,positive
लेकिन इसकी बनावट काफी अच्छी है।,positive
महेंद्र मेवती भी एक छोटी भूमिका में प्रभावी हैं।,positive
"कभी -कभी थोड़ा रुकावट होती है, लेकिन इसके अलावा, इसका प्रदर्शन काफी चिकनी है।",positive
आसान नियंत्रण।,positive
यह अन्य एंड्रॉइड वेयर उपकरणों की तुलना में बहुत छोटा है।,negative
इसके प्रदर्शन की सतह पर कोई बटन नहीं है।,neutral
यह फूल केवल बारह वर्षों में एक बार फूलता है।,neutral
लंबे समय तक टाइप करना बहुत व्यावहारिक है।,positive
"फोन का बाहरी खोल, जो कि चेसिस कहना है, पॉली कार्बोनेट से बना है और काफी मजबूत है।",positive
"इसके प्रदर्शन में बहुत सुधार हुआ है, इसका डिज़ाइन बहुत मजबूत लगता है और इसका उपयोगकर्ता इंटरफ़ेस बहुत परिष्कृत और ताजा है।",positive
"यदि आप अपनी जेब का समर्थन करते हैं, तो आप गहरी मछली पकड़ने और स्कूबा डाइविंग भी कर सकते हैं।",neutral
"मोटी - पतली, रोटी बनाओ।",neutral
"इसके अलावा, जिंक टैबलेट किसी भी अन्य टैबलेट की तरह है, लेकिन थोड़ा पतला है।",positive
शाहरुख की अच्छी तरह से ज्ञात शैली।,neutral
लाल किले का यह नाम इसलिए बनाया गया था क्योंकि यह लाल पत्थरों से बना है।,neutral
"डोगर के दक्षिण -पश्चिम में स्थित आश्रम डी सत्संग, झारखंड में मुख्य तीर्थयात्रा केंद्रों में से एक है।",positive
"गंगटोक युकसोम की सड़क गंगटोक से शुरू होती है और बर्फीली पहाड़ियों से गुजरती है, जो गंगटोक से निकलती है।",neutral
Google नाउ स्पेशल आपके स्थान के अनुसार चीजों की तलाश कर सकता है और आपको उनके बारे में पर्याप्त जानकारी प्रदान करता है।,positive
"इसमें, आप एफएम में निष्पादित पसंदीदा गीतों को भी रिकॉर्ड कर सकते हैं और कंप्यूटर विज्ञान में सीटी स्कैन सभी एफएम चैनलों को स्वयं उपलब्ध करा सकते हैं।",positive
लूमिया 820 लुमिया 820 में 8 जीबी बोर्ड पर एक स्टोरेज है और इसे माइक्रो एसडी कार्ड के माध्यम से 64 जीबी तक बढ़ाया जा सकता है।,neutral
इसका विशेष रूप से बौद्ध धर्म के साथ एक बहुत पुराना संबंध है।,neutral
"लाइव टेलीविजन स्ट्रीमिंग में उपलब्ध एक विशाल फिल्म लाइब्रेरी और प्रति माह 60 -मांग अनुभाग में, यह एक बुरा सौदा नहीं है।",positive
चमकदार डिस्प्ले एक 5.7 -इंच पूर्ण IPS HD स्क्रीन है।,neutral
सस्ते दामों पर Google Chromebook लैपटॉप की भारी लोकप्रियता और बढ़ती मांग ने Microsoft लैपटॉप की बिक्री को कम कर दिया है।,positive
"इस साल, मनाली के पर्यटक स्थलों में मजबूत बर्फबारी थी।",neutral
इसकी स्क्रीन Z580 की तुलना में उज्जवल और स्पष्ट है और गहरी और बेहतर दिखती है।,positive
Slopho पेशेवरों को अपने ग्राहकों को बनाने और बढ़ाने का मौका भी देता है।,positive
"पैड और फोन बटन के बीच व्यावहारिक स्थान के कारण, एसएमएस में बहुत सुविधा होगी।",positive
"मंदिरों और जीवों के अलावा, इस क्षेत्र में वास्तुकला का एक अनूठा काम भी महसूस किया जा सकता है।",positive
"ब्राउज़र के बारे में, यह मूल ब्राउज़र के साथ काफी अच्छी तरह से काम करता है, लेकिन ओपेरा जैसा एक ब्राउज़र जिसके पास एक एकीकृत डाउनलोड क्लाइंट है, टर्बो डाउनलोडर बहुत उपयोगी नहीं है।",positive
फ़ूजी फिल्म x 20 और x 100 फूजीफिल्म X20 और X100 मॉडल में 16.3 मेगापिक्सल का CS C सेंसर है।,neutral
आप इस बगीचे में रंगीन फूलों की कई प्रजातियों को देख सकते हैं और इसे अपने कैमरे में कैप्चर कर सकते हैं।,positive
श्रीनगर में सबसे बड़ा एशियाई ट्यूलिप गार्डन सुराज बाग चेशमशाही का इंदिरा गांधी स्मारक उद्यान है।,neutral
"अन्यथा, मिलग्रो टैब टॉप, बीएसएनएल टैबलेट और एचसीएल माई ईजू टैबलेट मिलग्रो टैब, बीएसएनएल टैबलेट और एचसीएल मेरे ईडीयू टैबलेट इस टुकड़ी में हैं, लेकिन कोई भी फनबुक प्रो के विनिर्देश के बराबर नहीं है।",positive
पिछला कैमरा 13 मेगा पिक्सेल है और अगला कैमरा 5 मेगा पिक्सेल है।,neutral
"सौभाग्य से, यह एप्लिकेशन आपके स्मार्टफोन पर असनी में उपलब्ध है।",positive
दर्शकों को ऐसी फिल्में देखना चाहिए।,positive
एक और विशेष बात यह है कि इन पीसी को किसी भी कार्यालय प्रशिक्षक से जोड़ा जा सकता है।,positive
"इसके अलावा, इसका उपयोग Vi -fi के तहत स्मार्टफोन या टैबलेट से कनेक्ट करके भी किया जा सकता है।",neutral
"इसका स्पष्ट रूप से मतलब है कि यह डिवाइस देखने में इतना बुरा नहीं लगता है, हालांकि अगर यह 15,799 रुपये की जांच करता है, तो यह एक अच्छा डिज़ाइन स्मार्टफोन है।",positive
कभी -कभी यह उन लोगों के लिए आसान होता है जो खेल की घटनाओं के लिए फोटोग्राफी पसंद करते हैं।,positive
"स्क्रीन का विपरीत बहुत बुरा है, सूरज धूप में अच्छा नहीं लगता है।",negative
एक अन्य महत्वपूर्ण विशेषता 4 जी / 3 जी और 2 जी बाहरी डोंगल के साथ संगत है।,positive
"वास्तव में, यह हमारे टैबलेट ने कभी परीक्षण नहीं किया।",positive
मीरा सपना पब्बी और जयदेव गुरमीत चौधरी आधे अधूरे हैं।,neutral
"एलजी ने दो कार्यों द्वारा ऐसा किया - पहला, फोन को एक बहुत पतली तिरछी धार, और दूसरा, और पीछे के हिस्से को एक वक्र आकार प्राप्त होता है।",neutral
कार जैसे कई डिजाइन तत्व हैं।,positive
यह टेलीविजन डिजिटल नॉइस को कम करने के लिए तकनीक के साथ एक पूर्ण एचडी वीडियो रीडिंग के साथ दिया जाता है।,positive
भट्ट कैंप की फिल्मों का संगीत कर्णप्रिया के कारण लोकप्रिय है।,neutral
आवेदन को खोलने में अधिक समय लगता है।,negative
"इस बार, इस फिल्म में कोई समय खराब नहीं हुआ था।",positive
"यह 4 जीबी रैम के साथ ज़ेनफोन 2 के नाम से पहना गया था, यह एंड्रॉइड के संस्करण 5.0 में नवीनतम लॉलीपॉप पर काम करता है।",neutral
लेकिन इसका प्रदर्शन कोर i3 प्रोसेसर के साथ एचपी मंडप G6-2227TU जितना तेज नहीं है।,negative
"टैबलेट में 8 जीबी की आंतरिक मेमोरी होती है, इसके अलावा, आप इसे माइक्रो एसडी कार्ड जोड़कर 32 जीबी तक बढ़ा सकते हैं, जिसमें आप अपनी फ़ाइलों, फिल्मों, संगीत, छवियों, आदि को संग्रहीत कर सकते हैं।",neutral
"ब्लैक हॉर्स - ब्लैक हॉर्स जिसे हम मुंबई कल्चल सेंटर की ओर से भी जानते हैं, उनकी आर्ट गैलरी और उनके संग्रहालय के लिए प्रसिद्ध है।",positive
"यदि आप सुविधाओं को देखते हैं, तो Huawei मीडिया पैड 7 कार्टैक्स A8 7 लाइट 1.2 Gigarht, 1 GB RAM, Android ICS OS, 4 GB की आंतरिक मेमोरी स्टोर, वाईफाई, ब्लूटूथ, ब्लूटूथ, 3 .2 MAGAPICCLCLCLCL के रिश्तेदार में। कैमरा और वीन कैमल 13,700 रुपये की कीमत का सामना कर रहे हैं",neutral
"नेक्सस 7 में एक प्रोजेक्ट बटर फंक्शन है, जो इस टैबलेट की प्रतिक्रिया में काफी सुधार करता है।",positive
यह केवल 7.9 मिलीमीटर प्रकाश व्यवस्था है और इसका वजन भी केवल 140 ग्राम है।,neutral
"जब आप इसे अपनी गर्दन के करीब रखते हैं, तो रिसेप्शन काफी अच्छा हो जाता है यदि आप टी-शर्ट पहनते हैं।",neutral
"जब एक फिल्म देखने की बात आती है, तो आप पाते हैं कि टैबलेट अच्छा है।",positive
"यदि आप कला की कला में भी रुचि रखते हैं, तो यह स्थान आपको सूट करता है।",positive
' फिल्मिस्तान ' ने यह काम बहुत खूबसूरती के साथ किया था ।,positive
"शिफ्ट, एंटर और बैकस्पेस बिल्कुल वही दुनिया है, जिनके लिए हम उपयोग किए जाते हैं, और उनकी जगह का कोई मिथ्याकरण नहीं है।",neutral
"इन स्थानों में से एक Ziro / Ziro है, जो प्रदेश D'Arunachal में समुद्र तल से 5,754 फीट से 1,780 मीटर की ऊंचाई पर स्थित है, जो अपनी सांस्कृतिक विरासत और इसके आकर्षक दृश्य के लिए जाना जाता है।",positive
"गैलापागोस द्वीप न केवल एक अज्ञात पर्यटन स्थल है, बल्कि यह स्थान यूनेस्को सांस्कृतिक संगठन सूची, यूनेस्को विश्व विरासत में भी शामिल है।",neutral
एक विशेष डिजिटल कुंजी के साथ Apple स्मार्टवॉच में कई विशेषताएं हैं।,positive
मिलग्रो टैब 7.4 सात -इंच कैपेसिटिव टच स्क्रीन के साथ आता है।,neutral
"लेकिन इस टैबलेट में, माइक्रोमैक्स एक बेहतर रैम, एक सिम कार्ड स्लिट और एक कॉल इंस्टॉलेशन की पेशकश करके 10 से 15,000 रुपये के टैबलेट को कठिन प्रतिस्पर्धा भी देगा।",positive
ऑडियो में न तो अच्छी स्क्रीन और न ही ऑडियो।,negative
उन्होंने नायक बोमकेश सहित सभी पात्रों के लिए हनी ट्रेहान की मदद से उपयुक्त कलाकारों की खोज की।,neutral
इसे चॉर्टिरलिंग लंकापति रावण द्वारा लाया गया था।,neutral
एनीमेशन अपने आप में सुंदर है अगर यह 3 डी में नहीं है।,neutral
"यह मेनू नोटों, एस प्लानर, क्रेन भौतिकी, फ़ोटोशॉप बटन के मापदंडों और पेन तक पहुंचने के लिए एक शॉर्टकट के रूप में कार्य करता है।",neutral
यह ग्राफिक संदर्भ परीक्षण में अन्य प्रतियोगियों को भी पीछे छोड़ देता है।,positive
स्पीकर को कॉल कॉन्फ्रेंस सिस्टम के रूप में इस्तेमाल किया जा सकता है।,neutral
बड़े पैमाने पर वीडियो लाइब्रेरी है।,positive
"फ्रंट कैमरे की मदद से, उपयोगकर्ता वीडियो कॉल इंस्टॉलेशन का लाभ उठा सकेगा।",positive
"फ्रंट और रियर ग्लास डिज़ाइन के कारण, सैमसंग ने इन दोनों फोनों को मजबूत बनाने की कोशिश की है।",positive
"लावा ई कनेक्शन में 3 जी कॉल सपोर्ट है, साथ ही 7 -इंच डबलुई स्क्रीन उपयोगकर्ता को एक बड़ा दृश्य देती है, स्क्रीन 800 x 480 का समर्थन करती है।",neutral
"बेशक, यह बॉलीवुड रोमांटिक कॉमेडी में अब तक की सबसे अच्छी फिल्म है।",positive
सैमसंग गैलेक्सी नोट 800 एक बहुत अच्छे प्रदर्शन के साथ एक उत्कृष्ट टैबलेट है।,positive
"वैसे, इस साल के लॉन्च को किया जाना चाहिए और यदि आप लंबी अवधि में ध्यान में रखते हुए फोन लेना चाहते हैं, तो आप फोन ले सकते हैं।",neutral
"एक बार यह हो जाने के बाद, ENVI DV6 का शानदार प्रदर्शन आपको खुश करेगा।",positive
स्क्रॉल करने के लिए डिवाइस के किनारे एक बटन दिया जाता है।,neutral
पर्यटक कैमरे के फूलों के बीच शानदार दृश्य को पकड़ने में विफल नहीं होते हैं।,positive
"हालांकि, यह एंड्रॉइड संस्करण 4.4 किटकैट के एक -वर्षीय ऑपरेटिंग सिस्टम पर संचालित होता है।",negative
सड़क काट दी गई थी।,negative
वे सही अनुपात में आंतरिक दुर्भावना और चरित्र के बदला लेने में सक्षम नहीं हैं।,neutral
इसमें 1.3 गीगाहर्ट्ज क्वाडकोर प्रोसेसर के अलावा 8 जीबी की आंतरिक मेमोरी है।,neutral
इसका रिमोट कंट्रोल भी Apple TV के साथ दिया जाता है।,neutral
यह एप्लिकेशन वर्तमान में केवल Android उपकरणों के लिए उपलब्ध है।,neutral
लोग खेतों के अलावा शिल्प और उत्पादों को हाथ में बनाकर अपना जीवन जीते हैं।,neutral
फोन में स्वच्छ और अच्छा ऑपरेशन देखा जाता है।,positive
जोलो प्राइम में दी गई 1800 एमएएच की बैटरी 2 ग्राम में 20.8 घंटे की बातचीत का समय देती है और 3 जी में 10 घंटे जबकि 2 जी में 500 घंटे की घड़ी और 3 जी में 400 घंटे देती है।,neutral
"""हवाई"" में गीतों का अत्यधिक उपयोग इतिहास की गति को बाधित करता है।",negative
फनबुक बैटरी के जीवन ने हमें निराश किया है।,negative
पार्क में फूलों की कई प्रजातियां भी हैं।,neutral
इसका आकार काफी हद तक एक अल्ट्राबुक के रूप में कॉम्पैक्ट है।,positive
यह एक उच्च कीमत है।,negative
"लेकिन सस्ती कीमत के कारण, कंपनी ने कई सुविधाएं प्रदान नहीं की होंगी।",negative
"इस टैबलेट में पीठ पर एक कैमरा है, लेकिन इसके साथ फ्लैश नहीं है।",negative
पूरी 9600 एमएएच की बैटरी लेनोवो द्वारा स्क्रीन के बाईं ओर रखी गई है।,neutral
लाइव शटर ज्यादा नहीं है और फोटो की गुणवत्ता अच्छी है।,positive
Ooty एक खिलौना ट्रेन के माध्यम से नवविवाहित जोड़े को आकर्षित करता है।,positive
"यदि आप बैटरी लाइफ के बारे में बात करते हैं, तो गैलेक्सी टैब 2 बैटरी वेब नेविगेशन, संगीत, फिल्मों, गेम और सोशल नेटवर्क आदि के उपयोग के साथ डेढ़ दिन से अधिक समय तक रहती है।",neutral
यहां आप टैबलेट के दाईं ओर पावर और वॉल्यूम बटन देख सकते हैं।,neutral
"""बेबी"" दिखाई दे रहा है।",positive
"यहां की कलाकृतियाँ फारसी, यूरोपीय और भारतीय कला का मिश्रण हैं, जिसे एक प्रतिष्ठित और अद्वितीय शाहजहानी शैली कहा जाता था।",neutral
एक उत्कृष्ट स्क्रीन है।,positive
"उन्हें कम संवाद मिले हैं, लेकिन वे उनकी उपस्थिति और भुगतान को प्रभावित करते हैं।",positive
एकीकृत माइक ऑडियो के लिए एक अच्छा काम करते हैं।,positive
उन्होंने ध्रुव को केंद्र में रखा।,neutral
"एक हाइब्रिड हेलमेट होने के नाते, उसके दो पायलट हैं।",neutral
"इसके अलावा, ऐसा कुछ भी नहीं है जैसा आप महसूस करते हैं कि आपने पहले ही देखा है।",positive
उनके पास 16 एमपी स्नेपर 16X ज़ूम लॉन्च हैं।,neutral
डिवाइस का पूर्ण IPS HD डिस्प्ले चिकना लगता है और रंग स्वाभाविक लगता है।,positive
ऑटो व्हाइट बैलेंस सभी स्थितियों में अच्छी तरह से काम करता है और आप एक अच्छी छवि पर भरोसा कर सकते हैं।,positive
OLED स्क्रीन Android Wear है।,neutral
3 जी और मानक सिम कार्ड के साथ एक WAES कॉल क्षमता है।,neutral
इस फोन के साथ एक रियर पैनल मुफ्त में उपलब्ध है।,positive
"जहां इसकी कीमत 2499 चीनी युवान है, लगभग 25,000 रुपये।",neutral
कल्की ने इस जीवित चरित्र को आंतरिक रूप से स्क्रीन पर रखा।,positive
"एक वेब, वाई -एफआई, ब्लूटूथ कैमरा और यहां तक ​​कि एक फिंगरप्रिंट स्कैनर भी इसके लिए उपलब्ध है।",neutral
खेल संदर्भ परीक्षण में उनका शानदार प्रदर्शन उन्हें अग्रभूमि में लाता है।,positive
सफेद संतुलन और इस डिवाइस के पिछले कैमरे का रंग अच्छा है।,positive
विदेशी मुद्रा और आय का सबसे बड़ा स्रोत यहां पर्यटन सेवा है।,neutral
मुफ्त ऑनलाइन फिल्में भी देखी जा सकती हैं।,positive
कम रोशनी के साथ प्रदर्शित करें।,negative
"विक्रमजीत सिंह की ""रॉय"" एक ऐसी फिल्म है।",neutral
NVIDIA TEGRA 3 प्रोसेसर भी इस टैबलेट का सबसे अच्छा ग्राफिक प्रदर्शन सुनिश्चित करता है।,positive
"उसके बाद, सभी वीडियो और फिल्में जो आपने अपने टीवी पर खरीदी हैं।",neutral
एलजी जी 3 स्टाइलस का डिजाइन व्यापक रूप से एलजी जी 3 और एलजी जी 3 बीट्स द्वारा सामना किया गया है।,neutral
"शरीर पर आदेश, डायल और बटन इस तरह से स्थापित किए गए हैं कि आप उनके उपयोग में भ्रमित महसूस नहीं करते हैं, भले ही आप निकॉन या कैनन डीएसएलआर के उपयोगकर्ता हों, आपको चेक का उपयोग करने में ज्यादा समय नहीं लगता है।",positive
इसलिए यह फिल्म एक शानदार हॉरर फिल्म है।,positive
नीला सोने का संस्करण जो हमारे पास है जो वास्तव में एक सुंदर फोन नहीं है।,negative
उपयोगकर्ता इसे अपनी सुविधा के आधार पर अलग -अलग तरीकों से अनुकूलित कर सकता है।,positive
"देओघर के बाहरी हिस्से पर स्थित, यह मंदिर अपनी वास्तुकला की सुंदरता के लिए जाना जाता है।",positive
नसीरुद्दीन शाह ने नील आनंद बाबा की भूमिका में मज़ा किया है।,positive
स्क्रीन की गुणवत्ता बहुत अधिक है।,positive
पर्यटक पूरे वर्ष आते रहते हैं।,positive
"केवल 145 ग्राम वजन, इस स्मार्टफोन में 3140 एमएएच की बैटरी है।",neutral
"विभु पुरी का निर्देशन ""हवाई"" अवधि की फिल्म द्वारा किया गया है।",neutral
"इसमें बहुत सारी विशेषताएं हैं, जैसे कि विशेष भारत, अच्छी त्वचा, पतली और सुंदर आकार और अच्छी शक्ति के लिए डिज़ाइन की गई सामग्री।",positive
प्रीमियम गेम्स प्रीलीमिनरी हैं।,positive
"इसके अलावा, टैबलेट पर बाजार पर अधिकांश USB 3G डोंग का उपयोग डेटा कनेक्टिविटी के लिए किया जा सकता है।",neutral
"स्त्री रोग संबंधी छूट लेने के बाद भी, हम यह भी कह सकते हैं कि यह बाजार में उपलब्ध प्लास्टिक संरचना फोन में सबसे अच्छा और सबसे मजबूत फोन है।",positive
केरल एकमात्र राज्य है जिसने इस पद्धति को बहुत अच्छी तरह से अपनाया है।,positive
"जब दीवार बढ़ती होती है, तो पीछे से रंग शानदार होता है, यह बहुत अच्छा प्रभाव डालता है।",positive
"कुछ समय के लिए, लॉजिटेक भारतीय बाजार को अपने ब्रांड ब्लूटूथ स्पीकर ""अल्टीमेट इयर्स ईयू"" को बेचने की कोशिश कर रहा था।",neutral
